,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_biotype,external_gene_name,entrezgene_id
FBgn0000003,123.353804684382,-1.06001695154471,0.68786665113874,12.4276164119969,0.00200160042484597,0.00820460522636607,ncRNA,7SLRNA:CR32864,3771948
FBgn0000008,630.994604435902,-0.20952656192346,0.362059034005325,5.67703729032102,0.0585122792441894,0.126642348695639,protein_coding,a,43852
FBgn0000014,516.32700644977,0.573708786232445,0.28864379858219,10.3353726312096,0.00569773634426485,0.019584699586755,protein_coding,abd-A,42037
FBgn0000015,411.868738073606,-1.28339904249374,0.374641707056628,16.4297401756964,0.000270599662935271,0.0014787160051052,protein_coding,Abd-B,47763
FBgn0000017,10524.8224060479,0.140897638500998,0.282691530600375,1.82184176716711,0.40215371670698,0.537226121556623,protein_coding,Abl,45821
FBgn0000018,274.613381753334,-0.719496043423212,0.240936301318318,10.4764559381999,0.00530965738133035,0.0185619087913022,protein_coding,abo,44793
FBgn0000022,164.294112682467,1.66660917313393,0.361850270810633,26.8711055601838,1.46222284997106e-06,1.46298126431234e-05,protein_coding,ac,30981
FBgn0000024,22.4941753626483,2.29167107354452,0.90285968383808,6.43382110019875,0.0400786882874795,0.0945465485831912,protein_coding,Ace,41625
FBgn0000028,50.7252382937714,-0.981771515559333,0.593488569397932,6.81086463480906,0.0331924672984227,0.0813573944328557,protein_coding,acj6,47080
FBgn0000032,1387.51752534515,-0.927384038899893,0.339623322668007,13.9748311709751,0.000923429976270253,0.004302648367694,protein_coding,Acph-1,48445
FBgn0000036,31.334867072629,3.78870079485149,0.879853542868338,17.8063201577219,0.000135958606998421,0.00081660695106992,protein_coding,nAChRalpha1,42918
FBgn0000037,13.1420239618333,2.57946344072496,0.861894007227788,11.4449963452231,0.00327152784399538,0.0123595323365983,protein_coding,mAChR-A,37892
FBgn0000038,54.860770914635,1.8718478940312,0.641487879866606,16.6186010914011,0.00024621620012696,0.00136558354353052,protein_coding,nAChRbeta1,38545
FBgn0000042,112603.837633749,0.201181430847716,0.192998910058811,1.49954467429939,0.472474105299198,0.60174471749779,protein_coding,Act5C,31521
FBgn0000043,9624.10391009232,0.241866769703975,0.139351597080052,3.31622639674677,0.190498073300744,0.313381190002673,protein_coding,Act42A,35526
FBgn0000044,1969.13552736647,1.9187174765738,0.957533677046236,85.2379710846895,3.096062752886e-19,1.36353996582582e-17,protein_coding,Act57B,37368
FBgn0000046,656.839801700782,0.731029027748791,0.398335911287702,399.355672522347,1.90993045291343e-87,8.77203772302383e-85,protein_coding,Act87E,48632
